Number,Time 197Au,197Au
921,4.614,0
922,4.619,0
923,4.624,0
924,4.629,0
925,4.634,200.0016
926,4.639,200.0016
927,4.644,0
928,4.649,200.0016
929,4.654,0
930,4.659,200.0016
931,4.664,0
932,4.669,0
933,4.674,0
934,4.679,0
935,4.684,200.0016
936,4.689,0
937,4.694,0
938,4.699,0
939,4.704,0
940,4.71,0
941,4.715,0
942,4.72,400.0064001
943,4.725,0
944,4.73,0
945,4.735,0
946,4.74,0
947,4.745,0
948,4.75,0
949,4.755,0
950,4.76,0
951,4.765,0
952,4.77,0
953,4.775,0
954,4.78,0
955,4.785,0
956,4.79,0
957,4.795,0
958,4.8,0
959,4.805,0
960,4.81,0
961,4.815,0
962,4.82,0
963,4.825,0
964,4.83,0
965,4.835,0
966,4.84,0
967,4.845,0
968,4.85,0
969,4.855,0
970,4.86,49297.01653
971,4.865,400.0064001
972,4.87,400.0064001
973,4.875,0
974,4.88,200.0016
975,4.885,0
976,4.89,200.0016
977,4.895,0
978,4.9,0
979,4.905,0
980,4.91,200.0016
981,4.915,0
982,4.92,200.0016
983,4.925,0
984,4.93,0
985,4.935,0
986,4.94,0
987,4.945,0
988,4.95,0
989,4.955,0
990,4.96,28231.84552
991,4.965,1800.129609
992,4.97,0
993,4.975,0
994,4.98,0
995,4.985,0
996,4.99,400.0064001
997,4.995,0
998,5,200.0016
999,5.005,0
1000,5.01,200.0016
1001,5.015,200.0016
1002,5.02,0
1003,5.025,0
1004,5.03,0
1005,5.035,200.0016
1006,5.04,0
1007,5.045,0
1008,5.05,0
1009,5.055,200.0016
1010,5.06,0
1011,5.065,0
1012,5.07,0
1013,5.075,200.0016
1014,5.08,0
1015,5.085,0
1016,5.09,0
1017,5.095,0
1018,5.1,200.0016
1019,5.105,0
1020,5.11,0
1021,5.115,0
1022,5.12,0
1023,5.125,0
1024,5.13,0
1025,5.135,0
1026,5.14,0
1027,5.145,200.0016
1028,5.15,0
1029,5.155,0
1030,5.16,0
1031,5.165,0
1032,5.17,0
1033,5.175,0
1034,5.18,0
1035,5.185,0
1036,5.19,0
1037,5.195,0
1038,5.2,0
1039,5.205,0
1040,5.21,45884.0596
1041,5.215,800.0256008
1042,5.22,0
1043,5.225,200.0016
1044,5.23,0
1045,5.235,0
1046,5.24,200.0016
1047,5.245,0
1048,5.25,0
1049,5.255,0
1050,5.26,0
1051,5.265,0
1052,5.27,0
1053,5.275,0
1054,5.28,0
1055,5.285,0
1056,5.29,200.0016
1057,5.295,0
1058,5.3,0
1059,5.305,0
1060,5.31,0
1061,5.315,0
1062,5.32,0
1063,5.325,0
1064,5.33,200.0016
1065,5.335,0
1066,5.34,50903.43578
1067,5.345,0
1068,5.35,0
1069,5.355,0
1070,5.36,0
1071,5.365,0
1072,5.37,0
1073,5.376,0
1074,5.381,0
1075,5.386,0
1076,5.391,0
1077,5.396,0
1078,5.401,0
1079,5.406,0
1080,5.411,0
1081,5.416,0
1082,5.421,0
1083,5.426,0
1084,5.431,0
1085,5.436,200.0016
1086,5.441,52710.90374
1087,5.446,0
1088,5.451,0
1089,5.456,0
1090,5.461,0
1091,5.466,0
1092,5.471,51706.72268
1093,5.476,0
1094,5.481,0
1095,5.486,0
1096,5.491,0
1097,5.496,0
1098,5.501,0
1099,5.506,0
1100,5.511,0
1101,5.516,0
1102,5.521,0
1103,5.526,200.0016
1104,5.531,0
1105,5.536,0
1106,5.541,0
1107,5.546,0
1108,5.551,0
1109,5.556,0
1110,5.561,0
1111,5.566,0
1112,5.571,200.0016
1113,5.576,0
1114,5.581,0
1115,5.586,0
1116,5.591,0
1117,5.596,0
1118,5.601,0
1119,5.606,0
1120,5.611,0
1121,5.616,0
1122,5.621,0
1123,5.626,0
1124,5.631,400.0064001
1125,5.636,0
1126,5.641,0
1127,5.646,0
1128,5.651,0
1129,5.656,0
1130,5.661,0
1131,5.666,0
1132,5.671,33645.21917
1133,5.676,200.0016
1134,5.681,0
1135,5.686,0
1136,5.691,0
1137,5.696,0
1138,5.701,0
1139,5.706,0
1140,5.711,0
1141,5.716,0
1142,5.721,33645.21917
1143,5.726,0
1144,5.731,200.0016
1145,5.736,0
1146,5.741,0
1147,5.746,0
1148,5.751,0
1149,5.756,0
1150,5.761,400.0064001
1151,5.766,0
1152,5.771,0
1153,5.776,0
1154,5.781,0
1155,5.786,0
1156,5.791,0
1157,5.796,0
1158,5.801,0
1159,5.806,0
1160,5.811,0
1161,5.816,0
1162,5.821,0
1163,5.826,200.0016
1164,5.831,0
1165,5.836,0
1166,5.841,0
1167,5.846,0
1168,5.851,0
1169,5.856,0
1170,5.861,0
1171,5.866,0
1172,5.871,0
1173,5.876,0
1174,5.881,0
1175,5.886,0
1176,5.891,0
1177,5.896,200.0016
1178,5.901,0
1179,5.906,0
1180,5.911,0
1181,5.916,0
1182,5.921,0
1183,5.926,0
1184,5.931,0
1185,5.936,0
1186,5.941,0
1187,5.946,0
1188,5.951,0
1189,5.956,9403.535729
1190,5.961,48293.10911
1191,5.966,200.0016
1192,5.971,0
1193,5.976,0
1194,5.981,200.0016
1195,5.986,0
1196,5.991,0
1197,5.996,0
1198,6.001,0
1199,6.006,0
1200,6.011,0
1201,6.016,0
1202,6.021,0
1203,6.026,0
1204,6.031,0
1205,6.036,0
1206,6.041,0
1207,6.046,200.0016
1208,6.052,0
1209,6.057,200.0016
1210,6.062,200.0016
1211,6.067,0
1212,6.072,0
1213,6.077,200.0016
1214,6.082,0
1215,6.087,0
1216,6.092,0
1217,6.097,0
1218,6.102,0
1219,6.107,200.0016
1220,6.112,0
1221,6.117,0
1222,6.122,200.0016
1223,6.127,0
1224,6.132,0
1225,6.137,0
1226,6.142,0
1227,6.147,0
1228,6.152,0
1229,6.157,0
1230,6.162,0
1231,6.167,0
1232,6.172,0
1233,6.177,0
1234,6.182,0
1235,6.187,200.0016
1236,6.192,0
1237,6.197,0
1238,6.202,0
1239,6.207,0
1240,6.212,0
1241,6.217,0
1242,6.222,200.0016
1243,6.227,0
1244,6.232,0
1245,6.237,0
1246,6.242,0
1247,6.247,0
1248,6.252,0
1249,6.257,0
1250,6.262,0
1251,6.267,0
1252,6.272,0
1253,6.277,0
1254,6.282,400.0064001
1255,6.287,0
1256,6.292,200.0016
1257,6.297,0
1258,6.302,0
1259,6.307,200.0016
1260,6.312,0
1261,6.317,0
1262,6.322,0
1263,6.327,0
1264,6.332,0
1265,6.337,48895.44391
1266,6.342,0
1267,6.347,0
1268,6.352,0
1269,6.357,0
1270,6.362,0
1271,6.367,0
1272,6.372,200.0016
1273,6.377,0
1274,6.382,0
1275,6.387,0
1276,6.392,0
1277,6.397,200.0016
1278,6.402,0
1279,6.407,0
1280,6.412,0
1281,6.417,200.0016
1282,6.422,0
1283,6.427,0
1284,6.432,0
1285,6.437,0
1286,6.442,0
1287,6.447,0
1288,6.452,0
1289,6.457,0
